row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,latest_transfer_id_before_valuation,latest_transfer_date_before_valuation,latest_transfer_type_before_valuation,contract_until_date,contract_days_remaining,contract_years_remaining,contract_expiring_within_1y,contract_expiring_within_2y,contract_missing,days_since_last_transfer,last_transfer_market_value_eur,last_transfer_fee_eur,last_transfer_fee_text,last_transfer_was_loan,last_transfer_was_free,transfer_count_before_valuation,loan_count_before_valuation
196948_22/23_Barcelona_es_La_Liga_2548,196948,22/23,Barcelona,es La Liga,2023-06-30,3920185,2022-07-04,STANDARD,2026-06-30,1096,3.0007,0,0,0,361,35000000,,Free Transfer,0,1,8,2
188077_22/23_Bournemouth_eng_Premier_League_2549,188077,22/23,Bournemouth,eng Premier League,2023-06-30,3530485,2021-08-31,STANDARD,2027-06-30,1461,4.0,0,0,0,668,7000000,2900000,2.90,0,0,10,6
659459_22/23_Chelsea_eng_Premier_League_2550,659459,22/23,Chelsea,eng Premier League,2023-06-30,3991227,2022-08-04,STANDARD,2028-06-30,1827,5.0021,0,0,0,330,6000000,18000000,18.00,0,0,5,0
401922_22/23_Villarreal_es_La_Liga_2551,401922,22/23,Villarreal,es La Liga,2023-06-30,2334283,2018-11-01,STANDARD,2024-06-30,366,1.0021,0,1,0,1702,500000,,-,0,0,3,0
333361_22/23_Almería_es_La_Liga_2552,333361,22/23,Almería,es La Liga,2023-06-30,3055228,2020-09-10,STANDARD,2025-06-30,731,2.0014,0,0,0,1023,1800000,,Free Transfer,0,1,4,0
495625_22/23_Cádiz_es_La_Liga_2553,495625,22/23,Cádiz,es La Liga,2023-06-30,3924509,2022-07-06,STANDARD,2028-06-30,1827,5.0021,0,0,0,359,2500000,1000000,1.00,0,0,8,2
94199_22/23_Hertha_BSC_de_Bundesliga_2554,94199,22/23,Hertha BSC,de Bundesliga,2023-06-30,4251779,2023-01-31,STANDARD,2024-06-30,366,1.0021,0,1,0,150,1000000,350000,350.00,0,0,13,4
525578_22/23_Rayo_Vallecano_es_La_Liga_2555,525578,22/23,Rayo Vallecano,es La Liga,2023-06-30,3464958,2021-07-28,STANDARD,2027-06-30,1461,4.0,0,0,0,702,800000,1000000,1.00,0,0,7,4
255838_22/23_Monza_it_Serie_A_2556,255838,22/23,Monza,it Serie A,2023-06-30,3472962,2021-07-31,STANDARD,2028-06-30,1827,5.0021,0,0,0,699,2800000,1700000,1.70,0,0,10,6
384593_22/23_Nice_fr_Ligue_1_2557,384593,22/23,Nice,fr Ligue 1,2023-06-30,4049373,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,4500000,,,1,0,8,2
384593_22/23_Lens_fr_Ligue_1_2558,384593,22/23,Lens,fr Ligue 1,2023-06-30,4049373,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,4500000,,,1,0,8,2
175639_22/23_Marseille_fr_Ligue_1_2559,175639,22/23,Marseille,fr Ligue 1,2023-06-30,3958227,2022-07-20,STANDARD,2025-06-30,731,2.0014,0,0,0,345,15000000,7500000,7.50,0,0,10,0
193784_22/23_Elche_es_La_Liga_2560,193784,22/23,Elche,es La Liga,2023-06-30,3960470,2022-07-21,STANDARD,2024-06-30,366,1.0021,0,1,0,344,2000000,,Free Transfer,0,1,10,6
85177_22/23_Crystal_Palace_eng_Premier_League_2561,85177,22/23,Crystal Palace,eng Premier League,2023-06-30,3101493,2020-10-14,STANDARD,2026-06-30,1096,3.0007,0,0,0,989,8000000,,Free Transfer,0,1,6,2
128901_22/23_Everton_eng_Premier_League_2562,128901,22/23,Everton,eng Premier League,2023-06-30,4000862,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2025-06-30,731,2.0014,0,0,0,0,12000000,,,1,0,7,4
353365_22/23_Nantes_fr_Ligue_1_2563,353365,22/23,Nantes,fr Ligue 1,2023-06-30,2559328,2019-07-16,STANDARD,2025-06-30,731,2.0014,0,0,0,1445,3000000,3000000,3.00,0,0,3,0
89450_22/23_Auxerre_fr_Ligue_1_2564,89450,22/23,Auxerre,fr Ligue 1,2023-06-30,4385284,2023-04-01,STANDARD,,,,,,1,90,700000,,-,0,0,19,10
61644_22/23_Nottingham_Forest_eng_Premier_League_2565,61644,22/23,Nottingham Forest,eng Premier League,2023-06-30,3010585,2020-08-11,STANDARD,2023-06-30,0,0.0,1,1,0,1053,1600000,,Free Transfer,0,1,11,8
68390_22/23_Everton_eng_Premier_League_2566,68390,22/23,Everton,eng Premier League,2023-06-30,414022,2010-05-31,RETURNED_FROM_PREVIOUS_LOAN,2025-06-30,731,2.0014,0,0,0,4778,1000000,,,1,0,4,2
282722_22/23_Elche_es_La_Liga_2567,282722,22/23,Elche,es La Liga,2023-06-30,4014749,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,3000000,,,1,0,10,4
174733_22/23_Sampdoria_it_Serie_A_2568,174733,22/23,Sampdoria,it Serie A,2023-06-30,4268509,2023-02-09,STANDARD,2025-06-30,731,2.0014,0,0,0,141,3500000,2300000,2.30,0,0,6,0
469050_22/23_Wolves_eng_Premier_League_2569,469050,22/23,Wolves,eng Premier League,2023-06-30,3937598,2022-07-12,STANDARD,2027-06-30,1461,4.0,0,0,0,353,10000000,24300000,24.30,0,0,5,0
487843_22/23_Lecce_it_Serie_A_2570,487843,22/23,Lecce,it Serie A,2023-06-30,3927128,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2025-06-30,731,2.0014,0,0,0,0,5000000,1500000,1.50,1,0,9,6
392959_22/23_Monza_it_Serie_A_2571,392959,22/23,Monza,it Serie A,2023-06-30,3865819,2022-07-01,STANDARD,2028-06-30,1827,5.0021,0,0,0,364,2400000,11000000,11.00,0,0,9,6
