Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Milan Đurić,ba BIH,FW,Hellas Verona,it Serie A,32,1990,28,14,1366,15.2,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,22/23,16,6,37.5,1.05,0.4,0.06,0.17,0,24,29,5,0,1,1,,,0,unmatched_name,
Filip Đuričić,rs SRB,MF,Sampdoria,it Serie A,30,1992,32,27,2171,24.1,3,0,3,3,0,0,9,0,0.12,0.0,0.12,0.12,0.12,22/23,26,12,46.2,1.08,0.5,0.12,0.25,0,38,48,0,41,7,21,,,0,unmatched_name,
Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,0.2,0.0,0.2,0.2,0.2,23/24,11,3,27.3,1.1,0.3,0.18,0.67,0,13,16,3,8,2,4,,,0,unmatched_name,
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,23/24,6,1,16.7,0.27,0.04,0.0,0.0,0,21,8,1,0,17,15,,,0,unmatched_name,
Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28,23/24,10,4,40.0,0.93,0.37,0.2,0.5,0,12,20,1,16,3,14,,,0,unmatched_name,
Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.07,0.0,0.07,0.07,0.07,23/24,14,3,21.4,0.5,0.11,0.14,0.67,0,43,10,1,25,34,38,,,0,unmatched_name,
Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,12,3,25.0,2.74,0.69,0.0,0.0,0,10,7,4,7,3,6,,,0,unmatched_name,
Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45,23/24,5,4,80.0,0.45,0.36,0.6,0.75,0,10,10,6,16,11,11,,,0,unmatched_name,
Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,3,0,0.0,1.6,0.0,0.0,,0,2,2,1,0,0,1,,,0,unmatched_name,
Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,1998,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,23/24,9,2,22.2,0.52,0.12,0.11,0.5,0,20,11,1,1,27,14,,,0,unmatched_name,
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,26,9,929,10.3,2,1,3,2,0,0,3,0,0.19,0.1,0.29,0.19,0.29,23/24,29,9,31.0,2.81,0.87,0.07,0.22,0,8,19,3,45,3,8,,,0,unmatched_name,
Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17,2005,15,7,555,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,9,2,22.2,1.46,0.32,0.0,0.0,0,18,8,0,5,5,12,,,0,unmatched_name,
Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22,2000,16,9,904,10.0,2,0,2,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,23/24,12,4,33.3,1.19,0.4,0.17,0.5,0,6,11,2,5,6,6,,,0,unmatched_name,
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29,1994,17,10,864,9.6,1,3,4,1,0,0,3,2,0.1,0.31,0.42,0.1,0.42,23/24,27,6,22.2,2.81,0.62,0.04,0.17,0,8,20,4,80,4,2,,,0,unmatched_name,
Ezequiel Ávila,ar ARG,"MF,FW",Real Betis,es La Liga,29,1994,6,4,298,3.3,1,0,1,1,0,0,4,1,0.3,0.0,0.3,0.3,0.3,23/24,9,3,33.3,2.72,0.91,0.11,0.33,1,3,12,0,12,1,1,,,0,unmatched_name,
Srđan Babić,rs SRB,DF,Almería,es La Liga,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,1,0,0.0,1.0,0.0,0.0,,0,2,0,0,0,0,2,,,0,unmatched_name,
Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22,2001,34,33,2579,28.7,2,14,16,2,0,1,11,1,0.07,0.49,0.56,0.07,0.56,23/24,73,26,35.6,2.55,0.91,0.03,0.08,0,52,57,8,173,14,20,,,0,unmatched_name,
Jaime Báez,uy URU,"MF,FW",Frosinone,it Serie A,28,1995,11,6,500,5.6,1,0,1,1,0,0,1,0,0.18,0.0,0.18,0.18,0.18,23/24,9,2,22.2,1.62,0.36,0.11,0.5,0,6,15,5,24,4,1,,,0,unmatched_name,
Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23,2000,14,3,446,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,3,0,0.0,0.61,0.0,0.0,,0,5,3,0,6,4,5,,,0,unmatched_name,
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23,2000,31,29,2606,29.0,4,1,5,4,0,0,8,0,0.14,0.03,0.17,0.14,0.17,23/24,38,15,39.5,1.31,0.52,0.11,0.27,0,57,52,3,6,33,42,,,0,unmatched_name,
Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23,2000,14,9,810,9.0,1,0,1,1,0,0,3,0,0.11,0.0,0.11,0.11,0.11,23/24,4,1,25.0,0.44,0.11,0.25,1.0,0,13,11,0,1,12,10,,,0,unmatched_name,
Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29,1994,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,2,2,100.0,0.1,0.1,0.0,0.0,0,22,16,0,14,26,31,,,0,unmatched_name,
