row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,market_value_eur,market_value_date,market_value_days_from_valuation,log_market_value_eur,market_value_in_window,market_value_stale,market_value_missing
272261_21/22_Hellas_Verona_it_Serie_A_151,272261,21/22,Hellas Verona,it Serie A,2022-06-30,20000000,2022-06-06,24,16.81124288,1,0,0
708265_21/22_Lyon_fr_Ligue_1_152,708265,21/22,Lyon,fr Ligue 1,2022-06-30,1000000,2022-05-29,32,13.81551156,1,0,0
532775_21/22_Nice_fr_Ligue_1_153,532775,21/22,Nice,fr Ligue 1,2022-06-30,9000000,2022-05-29,32,16.01273525,1,0,0
245014_21/22_Levante_es_La_Liga_154,245014,21/22,Levante,es La Liga,2022-06-30,8000000,2022-06-02,28,15.89495222,1,0,0
295622_21/22_Espanyol_es_La_Liga_155,295622,21/22,Espanyol,es La Liga,2022-06-30,4000000,2022-06-02,28,15.20180517,1,0,0
255942_21/22_Inter_it_Serie_A_156,255942,21/22,Inter,it Serie A,2022-06-30,70000000,2022-06-06,24,18.06400581,1,0,0
298575_21/22_Osasuna_es_La_Liga_157,298575,21/22,Osasuna,es La Liga,2022-06-30,3000000,2022-06-02,28,14.91412318,1,0,0
131978_21/22_Chelsea_eng_Premier_League_158,131978,21/22,Chelsea,eng Premier League,2022-06-30,12000000,2022-06-14,16,16.30041729,1,0,0
315332_21/22_Eintracht_Frankfurt_de_Bundesliga_159,315332,21/22,Eintracht Frankfurt,de Bundesliga,2022-06-30,1800000,2022-06-08,22,14.40329778,1,0,0
63200_21/22_Burnley_eng_Premier_League_160,63200,21/22,Burnley,eng Premier League,2022-06-30,1500000,2022-06-14,16,14.22097633,1,0,0
398065_21/22_Leicester_City_eng_Premier_League_161,398065,21/22,Leicester City,eng Premier League,2022-06-30,32000000,2022-06-14,16,17.28124649,1,0,0
32522_21/22_Elche_es_La_Liga_162,32522,21/22,Elche,es La Liga,2022-06-30,600000,2022-06-02,28,13.3046866,1,0,0
616369_21/22_Real_Sociedad_es_La_Liga_163,616369,21/22,Real Sociedad,es La Liga,2022-06-30,9000000,2022-06-02,28,16.01273525,1,0,0
185164_21/22_Arminia_de_Bundesliga_164,185164,21/22,Arminia,de Bundesliga,2022-06-30,1700000,2022-06-08,22,14.3461394,1,0,0
486624_21/22_Bologna_it_Serie_A_165,486624,21/22,Bologna,it Serie A,2022-06-30,18000000,2022-06-06,24,16.70588237,1,0,0
99922_21/22_Real_Betis_es_La_Liga_166,99922,21/22,Real Betis,es La Liga,2022-06-30,6000000,2022-06-02,28,15.60727019,1,0,0
134883_21/22_Torino_it_Serie_A_167,134883,21/22,Torino,it Serie A,2022-06-30,1400000,2022-06-06,24,14.15198351,1,0,0
134883_21/22_Cagliari_it_Serie_A_168,134883,21/22,Cagliari,it Serie A,2022-06-30,1400000,2022-06-06,24,14.15198351,1,0,0
334835_21/22_Bordeaux_fr_Ligue_1_169,334835,21/22,Bordeaux,fr Ligue 1,2022-06-30,8000000,2022-06-06,24,15.89495222,1,0,0
334835_21/22_Lazio_it_Serie_A_170,334835,21/22,Lazio,it Serie A,2022-06-30,8000000,2022-06-06,24,15.89495222,1,0,0
315853_21/22_Inter_it_Serie_A_171,315853,21/22,Inter,it Serie A,2022-06-30,60000000,2022-06-06,24,17.90985514,1,0,0
257751_21/22_Spezia_it_Serie_A_172,257751,21/22,Spezia,it Serie A,2022-06-30,7500000,2022-06-06,24,15.83041371,1,0,0
89297_21/22_Mallorca_es_La_Liga_173,89297,21/22,Mallorca,es La Liga,2022-06-30,1800000,2022-06-02,28,14.40329778,1,0,0
187491_21/22_Union_Berlin_de_Bundesliga_174,187491,21/22,Union Berlin,de Bundesliga,2022-06-30,5000000,2022-06-08,22,15.42494867,1,0,0
34787_21/22_Leverkusen_de_Bundesliga_175,34787,21/22,Leverkusen,de Bundesliga,2022-06-30,800000,2022-06-08,22,13.59236826,1,0,0
324278_21/22_Hoffenheim_de_Bundesliga_176,324278,21/22,Hoffenheim,de Bundesliga,2022-06-30,22000000,2022-06-08,22,16.90655306,1,0,0
153427_21/22_Rayo_Vallecano_es_La_Liga_177,153427,21/22,Rayo Vallecano,es La Liga,2022-06-30,800000,2022-06-02,28,13.59236826,1,0,0
237164_21/22_Hoffenheim_de_Bundesliga_178,237164,21/22,Hoffenheim,de Bundesliga,2022-06-30,16000000,2022-06-08,22,16.58809934,1,0,0
372240_21/22_Brentford_eng_Premier_League_179,372240,21/22,Brentford,eng Premier League,2022-06-30,5000000,2022-06-14,16,15.42494867,1,0,0
